     acc_x    ,     acc_y    ,     acc_z     
   -0.021240  ,    0.742188  ,   -0.672852  
   -0.022705  ,    0.741211  ,   -0.676025  
   -0.021240  ,    0.743408  ,   -0.675293  
   -0.021973  ,    0.741699  ,   -0.676270  
   -0.022217  ,    0.742920  ,   -0.677002  
   -0.022705  ,    0.742432  ,   -0.677734  
   -0.023438  ,    0.741455  ,   -0.677002  
   -0.023438  ,    0.743164  ,   -0.677979  
   -0.024170  ,    0.742920  ,   -0.674805  
   -0.021973  ,    0.743164  ,   -0.675781  
   -0.021240  ,    0.741211  ,   -0.674316  
   -0.021240  ,    0.742188  ,   -0.676758  
   -0.022949  ,    0.741943  ,   -0.677979  
   -0.023682  ,    0.742920  ,   -0.677734  
   -0.021973  ,    0.739258  ,   -0.675781  
   -0.021240  ,    0.742920  ,   -0.678467  
   -0.022461  ,    0.745117  ,   -0.678711  
   -0.022705  ,    0.739258  ,   -0.677002  
   -0.024902  ,    0.740723  ,   -0.677002  
   -0.021240  ,    0.740967  ,   -0.674805  
   -0.021240  ,    0.742676  ,   -0.678467  
   -0.020020  ,    0.742432  ,   -0.677490  
   -0.021484  ,    0.743164  ,   -0.678711  
   -0.021973  ,    0.743164  ,   -0.677979  
   -0.023193  ,    0.743896  ,   -0.678955  
   -0.022949  ,    0.739258  ,   -0.677002  
   -0.027100  ,    0.740234  ,   -0.678467  
   -0.025879  ,    0.740479  ,   -0.677490  
   -0.022705  ,    0.738770  ,   -0.675781  
   -0.022705  ,    0.741699  ,   -0.678711  
   -0.021484  ,    0.740967  ,   -0.677246  
   -0.022705  ,    0.740479  ,   -0.676758  
   -0.023193  ,    0.743164  ,   -0.678467  
   -0.022949  ,    0.742188  ,   -0.678711  
   -0.024414  ,    0.744385  ,   -0.679932  
   -0.022217  ,    0.743652  ,   -0.677002  
   -0.023926  ,    0.741211  ,   -0.676758  
   -0.023438  ,    0.742432  ,   -0.677734  
   -0.023438  ,    0.740723  ,   -0.676514  
   -0.022705  ,    0.738281  ,   -0.677246  
   -0.021973  ,    0.739990  ,   -0.677246  
   -0.021240  ,    0.741699  ,   -0.678955  
   -0.022217  ,    0.741455  ,   -0.678467  
   -0.024414  ,    0.741211  ,   -0.679199  
   -0.024414  ,    0.742188  ,   -0.679932  
   -0.024658  ,    0.742188  ,   -0.679932  
   -0.024658  ,    0.740479  ,   -0.678467  
   -0.022949  ,    0.739990  ,   -0.677490  
   -0.022705  ,    0.739746  ,   -0.678955  
   -0.024170  ,    0.742188  ,   -0.677246  
   -0.022461  ,    0.739258  ,   -0.677490  
   -0.023682  ,    0.740723  ,   -0.677002  
   -0.024170  ,    0.740967  ,   -0.678223  
   -0.023438  ,    0.738770  ,   -0.682129  
   -0.024658  ,    0.739990  ,   -0.681885  
   -0.025635  ,    0.740723  ,   -0.679443  
   -0.023926  ,    0.741943  ,   -0.676758  
   -0.021973  ,    0.742432  ,   -0.676758  
   -0.023926  ,    0.741699  ,   -0.677246  
   -0.023682  ,    0.741211  ,   -0.677246  
   -0.023193  ,    0.740479  ,   -0.677002  
   -0.023682  ,    0.737061  ,   -0.682861  
   -0.022949  ,    0.738525  ,   -0.682373  
   -0.025391  ,    0.740234  ,   -0.678711  
   -0.024902  ,    0.742920  ,   -0.677734  
   -0.023926  ,    0.741943  ,   -0.677734  
   -0.024902  ,    0.741211  ,   -0.677979  
   -0.026611  ,    0.738525  ,   -0.678955  
   -0.025635  ,    0.739746  ,   -0.678711  
   -0.021240  ,    0.739502  ,   -0.680420  
   -0.022705  ,    0.741211  ,   -0.677490  
   -0.023193  ,    0.741211  ,   -0.678955  
   -0.023682  ,    0.739502  ,   -0.678711  
   -0.023926  ,    0.741943  ,   -0.681152  
   -0.024170  ,    0.740479  ,   -0.679443  
   -0.026367  ,    0.739258  ,   -0.678955  
   -0.023438  ,    0.739502  ,   -0.679932  
   -0.025391  ,    0.740234  ,   -0.679443  
   -0.025635  ,    0.739258  ,   -0.679443  
   -0.023438  ,    0.737061  ,   -0.683105  
   -0.021729  ,    0.738281  ,   -0.680664  
